球员  国籍  年龄  身价（欧元）  所属俱乐部  位置 
李东炅 (Lee Dong-gyeong)	韩国	28岁	160万	蔚山HD	中场
金镇圭 (Kim Jin-gyu)	韩国	28岁	120万	全北现代	中场
裴峻浩 (Bae Jun-ho)	韩国	22岁	300万	斯托克城	中场
严智星 (Um Ji-sung)	韩国	24岁	140万	斯旺西	中场
黄喜灿 (Hwang Hee-chan)	韩国	30岁	800万	狼队	中场
李在城 (Lee Jae-sung)	韩国	33岁	200万	美因茨	中场
李刚仁 (Lee Kang-in)	韩国	25岁	2800万	巴黎圣日耳曼	中场
孙兴慜 (Son Heung-min)	韩国	33岁	1700万	洛杉矶FC	前锋
吴贤揆 (Oh Hyeon-gyu)	韩国	25岁	1500万	贝西克塔斯	前锋
曹圭成 (Cho Gue-sung)	韩国	28岁	300万	中日德兰	前锋
卢卡什·霍尔尼切克 (Lukáš Horníček)	捷克	24岁	1800万	布拉加	门将
马泰·科瓦日 (Matěj Kovář)	捷克	25岁	800万	埃因霍温	门将
因德日赫·斯塔涅克 (Jindřich Staněk)	捷克	30岁	200万	布拉格斯拉维亚	门将
弗拉迪米尔·曹法尔 (Vladimír Coufal)	捷克	33岁	250万	霍芬海姆	后卫
大卫·道杰拉 (David Doudera)	捷克	28岁	350万	布拉格斯拉维亚	后卫
托马斯·霍莱什 (Tomáš Holeš)	捷克	33岁	100万	布拉格斯拉维亚	后卫
罗宾·赫拉纳奇 (Robin Hranáč)	捷克	26岁	1000万	霍芬海姆	后卫
斯捷潘·哈劳佩克 (Štěpán Chaloupek)	捷克	22岁	1000万	布拉格斯拉维亚	后卫
大卫·尤拉塞克 (David Jurásek)	捷克	25岁	500万	布拉格斯拉维亚	后卫
拉迪斯拉夫·克雷伊奇 (Ladislav Krejčí)	捷克	27岁	2200万	狼队	后卫
雅罗斯拉夫·泽莱尼 (Jaroslav Zelený)	捷克	33岁	60万	布拉格斯巴达	后卫
大卫·齐马 (David Zima)	捷克	25岁	700万	布拉格斯拉维亚	后卫
卢卡什·切尔夫 (Lukáš Červ)	捷克	25岁	600万	比尔森胜利	中场
弗拉基米尔·达里达 (Vladimír Darida)	捷克	35岁	37.5万	赫拉德茨克拉洛韦	中场
卢卡什·普罗沃德 (Lukáš Provod)	捷克	29岁	800万	布拉格斯拉维亚	中场
米哈尔·萨迪莱克 (Michal Sadílek)	捷克	27岁	800万	布拉格斯拉维亚	中场
胡戈·索胡雷克 (Hugo Sochůrek)	捷克	17岁	350万	布拉格斯巴达	中场
亚历山大·索伊卡 (Alexandr Sojka)	捷克	24岁	230万	比尔森胜利	中场
托马斯·绍切克 (Tomáš Souček)	捷克	31岁	1200万	西汉姆联	中场
帕维尔·舒尔茨 (Pavel Šulc)	捷克	25岁	2000万	里昂	中场
丹尼斯·维辛斯基 (Denis Višinský)	捷克	22岁	300万	比尔森胜利	中场
亚当·赫洛热克 (Adam Hložek)	捷克	23岁	1000万	霍芬海姆	前锋
托马斯·绍里 (Tomáš Chorý)	捷克	31岁	270万	布拉格斯拉维亚	前锋
莫伊米尔·希季尔 (Mojmír Chytil)	捷克	27岁	400万	布拉格斯拉维亚	前锋
帕特里克·希克 (Patrik Schick)	捷克	30岁	1800万	勒沃库森	前锋
扬·库赫塔 (Jan Kuchta)	捷克	29岁	270万	布拉格斯巴达	前锋
达尼·圣克莱尔 (Dayne St. Clair)	加拿大	28岁	350万	迈阿密国际	门将
马克西姆·克雷波 (Maxime Crépeau)	加拿大	32岁	200万	奥兰多城	门将
欧文·古德曼 (Owen Goodman)	加拿大	22岁	55万	水晶宫	门将
阿方索·戴维斯 (Alphonso Davies)	加拿大	25岁	4000万	拜仁慕尼黑	后卫
莫伊塞·邦比托 (Moïse Bombito)	加拿大	26岁	800万	尼斯	后卫
阿利斯泰·约翰斯顿 (Alistair Johnston)	加拿大	27岁	800万	凯尔特人	后卫
阿尔菲·琼斯 (Alfie Jones)	加拿大	28岁	600万	米德尔斯堡	后卫
尼科·西古尔 (Niko Sigur)	加拿大	22岁	400万	哈伊杜克	后卫
德里克·科尼利厄斯 (Derek Cornelius)	加拿大	28岁	250万	格拉斯哥流浪者	后卫
乔尔·沃特曼 (Joel Waterman)	加拿大	30岁	250万	芝加哥火焰	后卫
扎卡里·德富热罗勒 (Zachary DeFougerolles)	加拿大	22岁	100万	登德	后卫
里奇·拉尔贾 (Richie Laryea)	加拿大	31岁	100万	多伦多FC	后卫
伊斯梅尔·科内 (Ismaël Koné)	加拿大	24岁	2500万	萨索洛	中场
泰琼·布坎南 (Tajon Buchanan)	加拿大	27岁	1200万	比利亚雷亚尔	中场
斯蒂芬·欧斯塔基奥 (Stephen Eustáquio)	加拿大	29岁	700万	洛杉矶FC	中场
内森·萨利巴 (Nathan Saliba)	加拿大	22岁	600万	安德莱赫特	中场
阿里·艾哈迈德 (Ali Ahmed)	加拿大	25岁	500万	诺维奇	中场
马塞洛·弗洛雷斯 (Marcelo Flores)	加拿大	22岁	450万	老虎大学	中场
雅各布·沙费尔伯格 (Jacob Shaffelburg)	加拿大	26岁	300万	洛杉矶FC	中场
利亚姆·米勒 (Liam Millar)	加拿大	26岁	300万	赫尔城	中场
乔纳森·奥索里奥 (Jonathan Osorio)	加拿大	33岁	120万	多伦多FC	中场
拉尔夫·乔涅雷 (Ralph Choniere)	加拿大	—	80万	洛杉矶FC	中场
乔纳森·戴维 (Jonathan David)	加拿大	26岁	3000万	尤文图斯	前锋
普罗米斯·戴维 (Promise David)	加拿大	24岁	1700万	圣吉罗斯联合	前锋
泰肖恩·奥卢瓦塞伊 (Tayshawn Oluwaseyi)	加拿大	25岁	800万	比利亚雷亚尔	前锋
西尔·拉林 (Cyle Larin)	加拿大	31岁	250万	南安普顿	前锋
尼古拉·瓦西里 (Nikola Vasilj)	波黑	30岁	100万	圣保利	门将
马丁·兹洛米斯利奇 (Martin Zlomislić)	波黑	27岁	80万	里耶卡	门将
奥斯曼·哈季基奇 (Osman Hadžikić)	波黑	26岁	50万	斯拉文贝鲁波	门将
塞亚德·科拉希纳茨 (Sead Kolašinac)	波黑	32岁	1500万	亚特兰大	后卫
阿马尔·德迪奇 (Amar Dedić)	波黑	23岁	1200万	本菲卡	后卫
尼哈德·穆亚基奇 (Nihad Mujakić)	波黑	27岁	250万	加济安泰普	后卫
尼克拉·卡蒂奇 (Nikola Katić)	波黑	29岁	300万	沙尔克04	后卫
塔里克·穆哈雷莫维奇 (Tarik Muharemović)	波黑	23岁	2000万	萨索洛	后卫
斯捷潘·拉德里季奇 (Stjepan Radeljić)	波黑	28岁	350万	里耶卡	后卫
丹尼斯·哈迪卡杜尼克 (Denis Hadžikadunić)	波黑	27岁	450万	桑普多利亚	后卫
尼达尔·切利克 (Nidal Čelik)	波黑	25岁	600万	朗斯	后卫
阿米尔·哈吉艾哈迈托维奇 (Amir Hadžiahmetović)	波黑	29岁	400万	赫尔城	中场
伊万·舒尼奇 (Ivan Šunjić)	波黑	29岁	300万	帕福斯	中场
伊万·巴希奇 (Ivan Bašić)	波黑	24岁	200万	阿斯塔纳	中场
泽尼斯·布尔尼奇 (Zenis Burnić)	波黑	28岁	250万	卡尔斯鲁厄	中场
埃尔明·马赫米奇 (Ermin Mahmić)	波黑	26岁	180万	利贝雷茨	中场
本亚明·塔希罗维奇 (Benjamin Tahirović)	波黑	23岁	500万	布隆德比	中场
阿马尔·梅米奇 (Amar Memić)	波黑	24岁	350万	比尔森胜利	中场
阿尔明·吉戈维奇 (Armin Gigović)	波黑	24岁	400万	年轻人	中场
克里姆·阿拉伊贝戈维奇 (Kerim Alajbegović)	波黑	18岁	350万	萨尔茨堡红牛	中场
埃斯米尔·巴伊拉克塔雷维奇 (Esmir Bajraktarević)	波黑	21岁	600万	埃因霍温	前锋
埃尔梅丁·德米罗维奇 (Ermedin Demirović)	波黑	28岁	2200万	斯图加特	前锋
约沃·卢基奇 (Jovo Lukić)	波黑	27岁	300万	克卢日大学	前锋
萨梅德·巴日达尔 (Samed Baždar)	波黑	22岁	350万	雅盖隆尼亚	前锋
哈里斯·塔巴科维奇 (Haris Tabaković)	波黑	31岁	500万	门兴格拉德巴赫	前锋
埃丁·哲科 (Edin Džeko)	波黑	40岁	150万	沙尔克04	前锋
马穆德·阿布纳德 (Mahmoud Abunada)	卡塔尔	25岁	40万	赖扬	门将
梅萨尔·巴沙姆 (Meshaal Barsham)	卡塔尔	28岁	70万	多哈萨德	门将
萨拉赫·扎卡里亚 (Salah Zakaria)	卡塔尔	25岁	40万	杜海勒	门将
阿尤布·阿莱维 (Ayoub Alawi)	卡塔尔	20岁	37.5万	加拉法	后卫
布阿莱姆·胡希 (Boualem Khoukhi)	卡塔尔	35岁	20万	多哈萨德	后卫
霍曼·艾哈迈德 (Homam Ahmed)	卡塔尔	26岁	50万	莱昂内萨	后卫
卢卡斯·门德斯 (Lucas Mendes)	卡塔尔	35岁	35万	沃克拉	后卫
伊萨·拉耶 (Issa Laye)	卡塔尔	27岁	20万	卢塞尔SC	后卫
佩德罗·米格尔 (Pedro Miguel)	卡塔尔	35岁	15万	多哈萨德	后卫
苏丹·布雷克 (Sultan Al Brake)	卡塔尔	29岁	30万	杜海勒	后卫
哈希米·侯赛因 (Hashimi Hussain)	卡塔尔	26岁	25万	阿拉比SC	后卫
阿西姆·马迪博 (Assim Madibo)	卡塔尔	29岁	35万	沃克拉	中场
阿卜杜勒阿齐兹·哈特姆 (Abdulaziz Hatem)	卡塔尔	35岁	25万	赖扬	中场
艾哈迈德·法特希 (Ahmed Fathi)	卡塔尔	33岁	25万	阿拉比SC	中场
卡里姆·布迪亚夫 (Karim Boudiaf)	卡塔尔	35岁	17.5万	杜海勒	中场
贾西姆·阿卜杜勒萨拉姆 (Jassim Abdulsalam)	卡塔尔	23岁	50万	赖扬	中场
穆罕默德·马奈 (Mohammed Manea)	卡塔尔	25岁	50万	北部体育	中场
艾哈迈德·贾内希 (Ahmed Al Janhi)	卡塔尔	24岁	50万	加拉法	前锋
艾哈迈德·阿拉丁 (Ahmed Alaa)	卡塔尔	33岁	30万	赖扬	前锋
阿克拉姆·阿菲夫 (Akram Afif)	卡塔尔	29岁	800万	多哈萨德	前锋
莫埃兹·阿里 (Almoez Ali)	卡塔尔	29岁	250万	杜海勒	前锋
埃德米尔森·儒尼奥尔 (Edmilson Junior)	卡塔尔	31岁	180万	杜海勒	前锋
哈桑·海多斯 (Hassan Al-Haydos)	卡塔尔	35岁	30万	多哈萨德	前锋
穆罕默德·蒙塔里 (Mohammed Muntari)	卡塔尔	32岁	20万	加拉法	前锋
塔赫辛·贾姆希德 (Tahsin Al-Jamshid)	卡塔尔	23岁	20万	杜海勒	前锋
优素福·阿卜杜里萨格 (Yusuf Abdurisag)	卡塔尔	26岁	27.5万	沃克拉	前锋
格雷戈·科贝尔 (Gregor Kobel)	瑞士	28岁	4000万	多特蒙德	门将
约纳斯·姆沃戈 (Jonas Omlin)	瑞士	32岁	300万	洛里昂	门将
马文·凯勒 (Marvin Keller)	瑞士	23岁	700万	年轻人	门将
曼努埃尔·阿坎吉 (Manuel Akanji)	瑞士	30岁	1800万	国际米兰	后卫
尼科·埃尔维迪 (Nico Elvedi)	瑞士	29岁	800万	门兴格拉德巴赫	后卫
米罗·穆海姆 (Miro Muheim)	瑞士	27岁	500万	汉堡	后卫
里卡多·罗德里格斯 (Ricardo Rodriguez)	瑞士	33岁	150万	皇家贝蒂斯	后卫
西尔万·威德默 (Silvan Widmer)	瑞士	33岁	80万	美因茨	后卫
莱昂尼达斯·斯特吉奥 (Leonidas Stergiou)	瑞士	24岁	1000万	斯图加特	后卫
奥雷莱·阿门达 (Aurèle Amenda)	瑞士	21岁	800万	法兰克福	后卫
埃雷·居马尔特 (Eray Cömert)	瑞士	28岁	250万	瓦伦西亚	后卫
格拉尼特·扎卡 (Granit Xhaka)	瑞士	33岁	1000万	桑德兰	中场
约翰·曼赞比 (Johan Manzambi)	瑞士	21岁	5000万	弗赖堡	中场
雷莫·弗鲁勒 (Remo Freuler)	瑞士	34岁	400万	博洛尼亚	中场
德尼·扎卡里亚 (Denis Zakaria)	瑞士	29岁	2500万	摩纳哥	中场
亚沙里 (Yashari)	瑞士	20岁	3000万	AC米兰	中场
吉布里尔·索乌 (Djibril Sow)	瑞士	29岁	750万	塞维利亚	中场
米歇尔·埃比舍尔 (Michel Aebischer)	瑞士	29岁	450万	比萨	中场
法比安·里德 (Fabian Rieder)	瑞士	24岁	800万	奥格斯堡	中场
鲁文·巴尔加斯 (Ruben Vargas)	瑞士	27岁	1200万	塞维利亚	前锋
布雷尔·恩博洛 (Breel Embolo)	瑞士	29岁	1200万	雷恩	前锋
诺亚·奥卡福 (Noah Okafor)	瑞士	26岁	1800万	利兹联	前锋
丹·恩多耶 (Dan Ndoye)	瑞士	25岁	3500万	诺丁汉森林	前锋
泽基·阿姆杜尼 (Zeki Amdouni)	瑞士	24岁	900万	伯恩利	前锋
塞德里克·伊滕 (Cedric Itten)	瑞士	29岁	180万	杜塞尔多夫	前锋
法斯纳赫特 (Fasnacht)	瑞士	21岁	200万	伯尔尼年轻人	前锋
阿利松 (Alisson)	巴西	33岁	1700万	利物浦	门将
埃德松 (Ederson)	巴西	32岁	1300万	费内巴切	门将
韦弗顿 (Weverton)	巴西	38岁	70万	格雷米奥	门将
加布里埃尔 (Gabriel Magalhães)	巴西	28岁	7500万	阿森纳	后卫
韦斯利 (Wesley)	巴西	22岁	4000万	罗马	后卫
布雷默 (Bremer)	巴西	29岁	3500万	尤文图斯	后卫
马尔基尼奥斯 (Marquinhos)	巴西	32岁	3000万	巴黎圣日耳曼	后卫
罗杰·伊巴涅斯 (Roger Ibañez)	巴西	27岁	1700万	吉达国民	后卫
里奥·佩雷拉 (Leo Pereira)	巴西	30岁	1000万	弗拉门戈	后卫
道格拉斯·桑托斯 (Douglas Santos)	巴西	32岁	800万	泽尼特	后卫
达尼洛 (Danilo)	巴西	34岁	250万	弗拉门戈	后卫
阿莱克斯·桑德罗 (Alex Sandro)	巴西	35岁	150万	弗拉门戈	后卫
布鲁诺·吉马良斯 (Bruno Guimarães)	巴西	28岁	7500万	纽卡斯尔联	中场
卢卡斯·帕奎塔 (Lucas Paquetá)	巴西	28岁	3500万	弗拉门戈	中场
达尼洛·桑托斯 (Danilo Santos)	巴西	25岁	2400万	博塔弗戈	中场
法比尼奥 (Fabinho)	巴西	32岁	1300万	吉达联合	中场
卡塞米罗 (Casemiro)	巴西	34岁	800万	曼联	中场
维尼修斯 (Vinícius Júnior)	巴西	25岁	1.5亿	皇家马德里	前锋
拉菲尼亚 (Raphinha)	巴西	29岁	8000万	巴塞罗那	前锋
马特乌斯·库尼亚 (Matheus Cunha)	巴西	27岁	7000万	曼联	前锋
伊戈尔·蒂亚戈 (Igor Thiago)	巴西	24岁	5000万	布伦特福德	前锋
马丁内利 (Gabriel Martinelli)	巴西	24岁	4500万	阿森纳	前锋
拉扬 (Rayan)	巴西	19岁	4000万	伯恩茅斯	前锋
恩德里克 (Endrick)	巴西	19岁	3500万	里昂	前锋
路易斯·恩里克 (Luiz Henrique)	巴西	25岁	2400万	泽尼特	前锋
内马尔 (Neymar)	巴西	34岁	1000万	桑托斯	前锋
布努 (Yassine Bounou)	摩洛哥	35岁	350万	利雅得新月	门将
穆尼尔·穆罕默德 (Munir El Kajoui)	摩洛哥	37岁	70万	贝尔卡尼	门将
塔格诺提 (Ahmed Reda Tagnaouti)	摩洛哥	30岁	80万	拉巴特皇家武装	门将
阿什拉夫 (Achraf Hakimi)	摩洛哥	27岁	8000万	巴黎圣日耳曼	后卫
马兹拉维 (Noussair Mazraoui)	摩洛哥	28岁	2000万	曼联	后卫
阿格德 (Nayef Aguerd)	摩洛哥	30岁	2000万	马赛	后卫
埃尔瓦赫迪 (Soufiane El Ouahdi)	摩洛哥	24岁	1500万	亨克	后卫
里亚德 (Chadi Riad)	摩洛哥	23岁	1200万	水晶宫	后卫
萨拉赫·埃丁 (Salah-Eddine)	摩洛哥	22岁	1200万	埃因霍温	后卫
迪奥普 (Mamadou Diop)	摩洛哥	25岁	1000万	富勒姆	后卫
贝拉马里 (Younes Belammari)	摩洛哥	27岁	120万	拉加竞技	后卫
哈尔哈尔 (Oussama El Hilali)	摩洛哥	22岁	300万	梅赫伦	后卫
布阿迪 (Ayyoub Bouaddi)	摩洛哥	18岁	5000万	里尔	中场
布拉欣·迪亚斯 (Brahim Díaz)	摩洛哥	26岁	3500万	皇家马德里	中场
埃尔哈努斯 (Bilal El Khannouss)	摩洛哥	22岁	3200万	斯图加特	中场
塞巴里 (Ismael Saibari)	摩洛哥	25岁	3200万	埃因霍温	中场
埃扎卢利 (Abde Ezzalzouli)	摩洛哥	24岁	3000万	皇家贝蒂斯	中场
穆拉贝特 (Iliesse Mourabit)	摩洛哥	—	1800万	斯特拉斯堡	中场
艾纳维 (Oussama El Azzouzi)	摩洛哥	24岁	2000万	罗马	中场
阿姆拉巴特 (Sofyan Amrabat)	摩洛哥	29岁	1200万	皇家贝蒂斯	中场
奥纳西 (Azzedine Ounahi)	摩洛哥	26岁	1000万	赫罗纳	中场
塔尔比 (Mohamed Taïbi)	摩洛哥	24岁	2500万	桑德兰	前锋
卡埃比 (Ayoub El Kaabi)	摩洛哥	32岁	500万	奥林匹亚科斯	前锋
拉希米 (Soufiane Rahimi)	摩洛哥	29岁	600万	阿尔艾因	前锋
亚辛 (Yassin)	摩洛哥	—	1000万	斯特拉斯堡	前锋
阿迈穆尼-埃奇古亚布 (Amine Et Taïbi)	摩洛哥	—	700万	法兰克福	前锋
普拉西德 (Johny Placide)	海地	38岁	15万	巴斯蒂亚	门将
亚历山大·皮埃尔 (Alexandre Pierre)	海地	25岁	50万	索肖	门将
迪韦尔热 (Josué Duverger)	海地	26岁	5万	科布伦茨	门将
阿尔库斯 (Carlens Arcus)	海地	29岁	180万	昂热	后卫
杜维尔 (Jean-Kévin Duverne)	海地	28岁	200万	根特	后卫
德尔克鲁瓦 (Hannes Delcroix)	海地	27岁	200万	卢加诺	后卫
波冈 (Wilguens Paugain)	海地	—	60万	威尔郡	后卫
里卡多·阿德 (Ricardo Ade)	海地	—	30万	基多大学	后卫
基托·泰尔蒙西 (Keeto Thermoncy)	海地	—	2.5万	伯尔尼年轻人	后卫
埃克斯佩里恩塞 (Martin Expérience)	海地	—	40万	南锡	后卫
杜克-拉克鲁瓦 (Duke Lacroix)	海地	—	12.5万	科罗拉多泉	后卫
贝勒加德 (Jean-Ricner Bellegarde)	海地	27岁	1600万	狼队	中场
卡西米尔 (Josué Casimir)	海地	24岁	350万	欧塞尔	中场
让-雅克 (Danley Jean Jacques)	海地	25岁	300万	费城联合	中场
莱弗顿·皮埃尔 (Leverton Pierre)	海地	—	20万	维泽拉	中场
多米尼克·西蒙 (Dominique Simon)	海地	—	22.5万	扑雷索夫	中场
伍登斯基·皮埃尔 (Woodensky Pierre)	海地	20岁	0	雷亚尔希望	中场
卡尔·圣泰 (Carl Fred Sainte)	海地	—	12.5万	埃尔帕索机车	中场
伊西多尔 (Wilson Isidor)	海地	25岁	1800万	桑德兰	前锋
皮埃罗 (Frantzdy Pierrot)	海地	30岁	250万	里泽体育	前锋
迪德森 (Don Deedson Louicius)	海地	—	120万	达拉斯	前锋
伦尼·约瑟夫 (Lenny Joseph)	海地	—	120万	费伦茨瓦罗斯	前锋
纳松 (Duckens Nazon)	海地	32岁	90万	德黑兰独立	前锋
普罗维登斯 (Ruben Providence)	海地	24岁	30万	阿尔梅勒城	前锋
亚辛·福琼 (Yassin Fortune)	海地	27岁	20万	维泽拉	前锋
埃蒂安 (Derrick Etienne)	海地	29岁	80万	多伦多FC	前锋
克雷格·戈登 (Craig Gordon)	苏格兰	43岁	5万	哈茨	门将
安格斯·冈恩 (Angus Gunn)	苏格兰	30岁	150万	诺丁汉森林	门将
利亚姆·凯利 (Liam Kelly)	苏格兰	30岁	80万	流浪者	门将
罗伯逊 (Andy Robertson)	苏格兰	32岁	1000万	利物浦	后卫
阿伦·希基 (Aaron Hickey)	苏格兰	23岁	1600万	布伦特福德	后卫
内森·帕特森 (Nathan Patterson)	苏格兰	24岁	1000万	埃弗顿	后卫
蒂尔尼 (Kieran Tierney)	苏格兰	28岁	800万	凯尔特人	后卫
斯科特·麦克纳 (Scott McKenna)	苏格兰	29岁	400万	萨格勒布迪纳摩	后卫
约翰·苏塔 (John Souttar)	苏格兰	29岁	300万	哈茨	后卫
杰克·亨德利 (Jack Hendry)	苏格兰	30岁	250万	达曼协作	后卫
海亚姆 (Dom Hyam)	苏格兰	30岁	250万	雷克瑟姆	后卫
格兰特·汉利 (Grant Hanley)	苏格兰	34岁	35万	希伯尼安	后卫
安东尼·罗尔斯顿 (Anthony Ralston)	苏格兰	27岁	150万	凯尔特人	后卫
麦克托米奈 (Scott McTominay)	苏格兰	29岁	4500万	那不勒斯	中场
刘易斯·弗格森 (Lewis Ferguson)	苏格兰	26岁	1800万	博洛尼亚	中场
麦金 (John McGinn)	苏格兰	31岁	1500万	阿斯顿维拉	中场
本·多克 (Ben Gannon-Doak)	苏格兰	20岁	1600万	伯恩茅斯	中场
瑞安·克里斯蒂 (Ryan Christie)	苏格兰	31岁	900万	伯恩茅斯	中场
比利·吉尔摩 (Billy Gilmour)	苏格兰	24岁	2000万	那不勒斯	中场
麦克莱恩 (Kenny McLean)	苏格兰	34岁	50万	诺维奇	中场
芬德利·柯蒂斯 (Findlay Curtis)	苏格兰	19岁	90万	基尔马诺克	中场
切·亚当斯 (Ché Adams)	苏格兰	29岁	850万	都灵	前锋
乔治·赫斯特 (George Hirst)	苏格兰	27岁	800万	伊普斯维奇	前锋
罗斯·斯图尔特 (Ross Stewart)	苏格兰	29岁	280万	南安普顿	前锋
尚克兰 (Lawrence Shankland)	苏格兰	30岁	280万	哈茨	前锋
戴克斯 (Lyndon Dykes)	苏格兰	30岁	100万	查尔顿	前锋
马特·特纳 (Matt Turner)	美国	32岁	250万	新英格兰革命	门将
马特·弗里兹 (Matt Freese)	美国	27岁	200万	纽约城	门将
克里斯·布雷迪 (Chris Brady)	美国	22岁	250万	芝加哥火焰	门将
克里斯·理查兹 (Chris Richards)	美国	26岁	2500万	水晶宫	后卫
蒂姆·里姆 (Tim Ream)	美国	38岁	20万	夏洛特FC	后卫
马克·麦肯齐 (Mark McKenzie)	美国	27岁	600万	图卢兹	后卫
奥斯顿·托斯蒂 (Auston Trusty)	美国	28岁	600万	凯尔特人	后卫
米尔斯·罗宾森 (Miles Robinson)	美国	29岁	350万	辛辛那提	后卫
安东尼·罗宾逊 (Antonee Robinson)	美国	29岁	2500万	富勒姆	后卫
塞吉诺·德斯特 (Sergiño Dest)	美国	26岁	1800万	埃因霍温	后卫
亚历克斯·弗里曼 (Alex Freeman)	美国	21岁	350万	比利亚雷亚尔	后卫
乔·斯卡利 (Joe Scally)	美国	23岁	700万	门兴格拉德巴赫	后卫
马克斯·阿夫斯滕 (Max Arfsten)	美国	25岁	450万	哥伦布机员	后卫
泰勒·亚当斯 (Tyler Adams)	美国	27岁	2500万	伯恩茅斯	中场
韦斯顿·麦肯尼 (Weston McKennie)	美国	27岁	3000万	尤文图斯	中场
克里斯蒂安·罗尔丹 (Cristian Roldan)	美国	30岁	350万	西雅图海湾人	中场
塞巴斯蒂安·贝哈尔特 (Sebastian Berhalter)	美国	25岁	500万	温哥华白浪	中场
亚历杭德罗·赞德哈斯 (Alejandro Zendejas)	美国	28岁	1000万	墨西哥美洲	中场
马利克·蒂尔曼 (Malik Tillman)	美国	24岁	3000万	勒沃库森	中场
布伦登·阿隆森 (Brenden Aaronson)	美国	25岁	1500万	利兹联	中场
克里斯蒂安·普利西奇 (Christian Pulisic)	美国	27岁	4000万	AC米兰	前锋
蒂莫西·维阿 (Timothy Weah)	美国	26岁	2000万	马赛	前锋
吉奥·雷纳 (Gio Reyna)	美国	24岁	400万	门兴格拉德巴赫	前锋
福拉林·巴洛贡 (Folarin Balogun)	美国	24岁	4000万	摩纳哥	前锋
里卡多·佩皮 (Ricardo Pepi)	美国	23岁	3000万	埃因霍温	前锋
哈吉·赖特 (Haji Wright)	美国	28岁	1400万	考文垂	前锋
奥兰多·吉尔 (Orlando Gill)	巴拉圭	26岁	600万	圣洛伦索	门将
加斯东·奥利韦拉 (Gastón Olveira)	巴拉圭	33岁	50万	奥林匹亚	门将
加蒂托·费尔南德斯 (Gatito Fernández)	巴拉圭	38岁	10万	波特诺山丘	门将
胡安·卡塞雷斯 (Juan Cáceres)	巴拉圭	26岁	500万	莫斯科迪纳摩	后卫
何塞·卡纳莱 (José Canale)	巴拉圭	29岁	220万	拉努斯	后卫
法比安·巴尔武埃纳 (Fabián Balbuena)	巴拉圭	34岁	90万	格雷米奥	后卫
奥马尔·阿尔德雷特 (Omar Alderete)	巴拉圭	29岁	1500万	桑德兰	后卫
古斯塔沃·戈麦斯 (Gustavo Gómez)	巴拉圭	33岁	350万	帕尔梅拉斯	后卫
亚历杭德罗·迈达纳 (Alejandro Maidana)	巴拉圭	28岁	250万	塔列雷斯	后卫
儒尼奥尔·阿隆索 (Junior Alonso)	巴拉圭	33岁	150万	米内罗竞技	后卫
古斯塔沃·贝拉斯克斯 (Gustavo Velázquez)	巴拉圭	35岁	40万	波特诺山丘	后卫
布拉扬·奥赫达 (Braian Ojeda)	巴拉圭	25岁	350万	奥兰多城	中场
达米安·博瓦迪利亚 (Damián Bobadilla)	巴拉圭	24岁	600万	圣保罗	中场
安德烈斯·库巴斯 (Andrés Cubas)	巴拉圭	30岁	400万	温哥华白浪	中场
迭戈·戈麦斯 (Diego Gómez)	巴拉圭	23岁	2500万	布莱顿	中场
亚历杭德罗·罗梅罗·加马拉 (Alejandro Romero Gamarra)	巴拉圭	31岁	450万	艾因	中场
毛里西奥·马加良斯 (Mauricio Magalhães)	巴拉圭	24岁	1500万	帕尔梅拉斯	中场
马蒂亚斯·加拉尔萨 (Matías Galarza)	巴拉圭	24岁	300万	亚特兰大联	中场
米格尔·阿尔米隆 (Miguel Almirón)	巴拉圭	32岁	900万	亚特兰大联	中场
胡利奥·恩西索 (Julio Enciso)	巴拉圭	22岁	2500万	斯特拉斯堡	中场
古斯塔沃·卡瓦列罗 (Gustavo Caballero)	巴拉圭	24岁	100万	朴茨茅斯	前锋
加夫列尔·阿瓦洛斯 (Gabriel Ávalos)	巴拉圭	35岁	75万	独立	前锋
伊西德罗·皮塔 (Isidro Pitta)	巴拉圭	26岁	750万	布拉甘蒂诺红牛	前锋
亚历克斯·阿尔塞 (Álex Arce)	巴拉圭	29岁	350万	门多萨独立	前锋
安东尼奥·萨纳夫里亚 (Antonio Sanabria)	巴拉圭	30岁	180万	克雷莫内塞	前锋
拉蒙·索萨 (Ramón Sosa)	巴拉圭	26岁	1000万	帕尔梅拉斯	前锋
马修·瑞安 (Mathew Ryan)	澳大利亚	34岁	550万	莱万特	门将
保罗·伊佐 (Paul Izzo)	澳大利亚	31岁	50万	兰纳斯	门将
帕特里克·比奇 (Patrick Beach)	澳大利亚	22岁	100万	墨尔本城	门将
阿齐兹·比伊奇 (Aziz Behich)	澳大利亚	35岁	25万	墨尔本城	后卫
乔丹·博斯 (Jordan Bos)	澳大利亚	23岁	1200万	费耶诺德	后卫
卡梅伦·伯吉斯 (Cameron Burgess)	澳大利亚	30岁	150万	斯旺西	后卫
亚历山德罗·奇尔卡蒂 (Alessandro Circati)	澳大利亚	22岁	1200万	帕尔马	后卫
米洛斯·德格内克 (Milos Degenek)	澳大利亚	32岁	50万	希腊人竞技	后卫
贾森·杰里亚 (Jason Geria)	澳大利亚	33岁	40万	新泻天鹅	后卫
卢卡斯·赫林顿 (Lucas Herrington)	澳大利亚	23岁	150万	科罗拉多急流	后卫
