### 墨西哥队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| 中场 | 约翰·麦金 (John McGinn) | 阿斯顿维拉 | 85 |
| 中场 | 瑞安·克里斯蒂 (Ryan Christie) | 伯恩茅斯 | 数据待核实 |
| 中场 | 刘易斯·弗格森 (Lewis Ferguson) | 博洛尼亚 | 数据待核实 |
| 中场 | 芬德利·库蒂斯 (Findlay Curtis) | 基尔马诺克 | 数据待核实 |
| 中场 | 本·多克 (Ben Doak) | 伯恩茅斯 | 数据待核实 |
| 中场 | 比利·吉尔莫 (Billy Gilmour) | 那不勒斯 | 数据待核实 |
| 中场 | 肯尼·麦克莱恩 (Kenny McLean) | 诺维奇 | 数据待核实 |
| 前锋 | 切·亚当斯 (Che Adams) | 都灵 | 数据待核实 |
| 前锋 | 林顿·戴克斯 (Lyndon Dykes) | 查尔顿竞技 | 数据待核实 |
| 前锋 | 乔治·赫斯特 (George Hirst) | 伊普斯维奇 | 数据待核实 |
| 前锋 | 劳伦斯·尚克兰 (Lawrence Shankland) | 哈茨 | 数据待核实 |
| 前锋 | 罗斯·斯图尔特 (Ross Stewart) | 南安普顿 | 数据待核实 |
---
### 美国队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 马特·特纳 (Matt Turner) | 新英格兰革命 | 53 |
| 门将 | 马特·弗里斯 (Matt Freese) | 纽约城 | 14 |
| 门将 | 克里斯·布雷迪 (Chris Brady) | 芝加哥火焰 | 0 |
| 后卫 | 塞尔吉诺·德斯特 (Sergiño Dest) | 埃因霍温 | 37 |
| 后卫 | 克里斯·理查兹 (Chris Richards) | 水晶宫 | 36 |
| 后卫 | 安东尼·罗宾逊 (Antonee Robinson) | 富勒姆 | 52 |
| 后卫 | 蒂姆·里姆 (Tim Ream) | 夏洛特FC | 82 |
| 后卫 | 迈尔斯·罗宾逊 (Miles Robinson) | 辛辛那提FC | 38 |
| 后卫 | 马克·麦肯齐 (Mark McKenzie) | 图卢兹 | 29 |
| 后卫 | 乔·斯卡利 (Joe Scally) | 门兴格拉德巴赫 | 26 |
| 后卫 | 奥斯顿·特鲁斯蒂 (Auston Trusty) | 凯尔特人 | 6 |
| 后卫 | 马克斯·阿夫斯坦 (Max Arfsten) | 哥伦布机员 | 20 |
| 后卫 | 亚历克斯·弗里曼 (Alex Freeman) | 比利亚雷亚尔 | 17 |
| 中场 | 泰勒·亚当斯 (Tyler Adams) | 伯恩茅斯 | 52 |
| 中场 | 韦斯顿·麦肯尼 (Weston McKennie) | 尤文图斯 | 66 |
| 中场 | 乔瓦尼·雷纳 (Gio Reyna) | 门兴格拉德巴赫 | 38 |
| 中场 | 克里斯蒂安·罗尔丹 (Cristian Roldan) | 西雅图海湾人 | 47 |
| 中场 | 塞巴斯蒂安·伯哈尔特 (Sebastian Berhalter) | 温哥华白浪 | 13 |
| 中场 | 马利克·蒂尔曼 (Malik Tillman) | 勒沃库森 | 30 |
| 前锋 | 克里斯蒂安·普利西奇 (Christian Pulisic) | AC米兰 | 86 |
| 前锋 | 布伦登·阿伦森 (Brenden Aaronson) | 利兹联 | 58 |
| 前锋 | 弗拉林·巴洛贡 (Folarin Balogun) | 摩纳哥 | 27 |
| 前锋 | 里卡多·佩皮 (Ricardo Pepi) | 埃因霍温 | 37 |
| 前锋 | 蒂莫西·维阿 (Tim Weah) | 马赛 | 51 |
| 前锋 | 哈吉·赖特 (Haji Wright) | 考文垂 | 20 |
| 前锋 | 亚历克斯·森德哈斯 (Alex Zendejas) | 美洲队 | 14 |
### 🇵🇾 巴拉圭队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 加托尼·费尔南德斯 (Gatito Fernández) | 波特诺山丘 | 30 |
| 门将 | 奥兰多·吉尔 (Orlando Gill) | 圣洛伦索 | 5 |
| 门将 | 加斯顿·奥尔维拉 (Gastón Olveira) | 奥林匹亚 | 1 |
| 后卫 | 古斯塔沃·戈麦斯 (Gustavo Gómez) | 帕尔梅拉斯 | **88** |
| 后卫 | 儒尼奥尔·阿隆索 (Júnior Alonso) | 米内罗竞技 | 70 |
| 后卫 | 法比安·巴尔武埃纳 (Fabian Balbuena) | 格雷米奥 | 47 |
| 后卫 | 奥马尔·阿尔德雷特 (Omar Alderete) | 桑德兰 | 35 |
| 后卫 | 胡安·何塞·卡塞雷斯 (Juan José Cáceres) | 莫斯科迪纳摩 | 16 |
| 后卫 | 古斯塔沃·贝拉斯克斯 (Gustavo Velázquez) | 波特诺山丘 | 12 |
| 后卫 | 何塞·卡纳莱 (José Canale) | 拉努斯 | 1 |
| 后卫 | 亚历山德罗·迈达纳 (Alexandro Maidana) | 塔勒雷斯 | 1 |
| 中场 | 米格尔·阿尔米隆 (Miguel Almirón) | 亚特兰大联 | 75 |
| 中场 | 亚历杭德罗·罗梅罗·加马拉 (Kaku) | 艾因 | 32 |
| 中场 | 安德烈斯·库巴斯 (Andrés Cubas) | 温哥华白浪 | 32 |
| 中场 | 拉蒙·索萨 (Ramón Sosa) | 帕尔梅拉斯 | 28 |
| 中场 | 迭戈·戈麦斯 (Diego Gómez) | 布莱顿 | 23 |
| 中场 | 达米安·博瓦迪利亚 (Damián Bobadilla) | 圣保罗 | 19 |
| 中场 | 布莱安·奥赫达 (Braian Ojeda) | 奥兰多城 | 16 |
| 中场 | 马蒂亚斯·加拉尔萨 (Matías Galarza) | 亚特兰大联 | 14 |
| 中场 | 毛里西奥·马加良斯 (Maurício) | 帕尔梅拉斯 | 2 |
| 前锋 | 安东尼奥·萨纳夫里亚 (Antonio Sanabria) | 克雷莫内塞 | 47 |
| 前锋 | 胡利奥·恩西索 (Julio Enciso) | 斯特拉斯堡 | 31 |
| 前锋 | 加布里埃尔·阿瓦洛斯 (Gabriel Ávalos) | 阿根廷独立 | 22 |
| 前锋 | 阿莱克斯·阿尔塞 (Álex Arce) | 门多萨独立 | 14 |
| 前锋 | 伊西德罗·皮塔 (Isidro Pitta) | 布拉干蒂诺红牛 | 5 |
| 前锋 | 古斯塔沃·卡瓦列罗 (Gustavo Caballero) | 朴茨茅斯 | 2 |
---
### 🇦🇺 澳大利亚队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 马修·瑞安 (Mathew Ryan) | 莱万特 | **104** |
| 门将 | 保罗·伊佐 (Paul Izzo) | 兰德斯 | 4 |
| 门将 | 帕特里克·比奇 (Patrick Beach) | 墨尔本城 | 1 |
| 后卫 | 阿齐兹·贝希奇 (Aziz Behich) | 墨尔本城 | 83 |
| 后卫 | 乔丹·博斯 (Jordan Bos) | 费耶诺德 | 3 |
| 后卫 | 卡梅隆·伯吉斯 (Cameron Burgess) | 斯旺西 | 26 |
| 后卫 | 亚历山德罗·奇尔卡蒂 (Alessandro Circati) | 帕尔马 | 12 |
| 后卫 | 米洛斯·德格内克 (Milos Degenek) | 希腊人竞技 | 56 |
| 后卫 | 杰森·杰里亚 (Jason Geria) | 新潟天鹅 | 13 |
| 后卫 | 卢卡斯·赫林顿 (Lucas Herrington) | 科罗拉多急流 | 3 |
| 后卫 | 雅各布·意大利亚诺 (Jacob Italiano) | 格拉茨AK | 4 |
| 后卫 | 哈里·苏塔尔 (Harry Souttar) | 莱斯特城 | 37 |
| 后卫 | 凯·特雷温 (Kai Trewin) | 纽约城 | 5 |
| 中场 | 卡梅隆·德夫林 (Cameron Devlin) | 哈茨 | 4 |
| 中场 | 阿伊丁·赫鲁斯蒂奇 (Ajdin Hrustic) | 赫拉克勒斯 | 37 |
| 中场 | 杰克逊·欧文 (Jackson Irvine) | 圣保利 | 81 |
| 中场 | 康纳·梅特卡夫 (Connor Metcalfe) | 数据待核实 | 数据待核实 |
| 中场 | 艾登·奥尼尔 (Aiden O'Neill) | 纽约城 | 数据待核实 |
| 中场 | 保罗·奥孔-恩格斯特勒 (Paul Okon-Engstler) | 墨尔本城 | 数据待核实 |
| 中场 | 克里斯蒂安·沃尔帕托 (Cristian Volpato) | 萨索洛 | 0 |
| 前锋 | 内斯托里·伊兰昆达 (Nestory Irankunda) | 沃特福德 | 14 |
| 前锋 | 马修·莱基 (Mathew Leckie) | 墨尔本城 | 80 |
| 前锋 | 阿维尔·马比尔 (Awer Mabil) | 卡斯特利翁 | 38 |
| 前锋 | 穆罕默德·图雷 (Mohamed Toure) | 数据待核实 | 数据待核实 |
| 前锋 | 尼山·韦卢皮莱 (Nishan Velupillay) | 墨尔本城 | 数据待核实 |
| 前锋 | 泰特·延吉 (Tete Yengi) | 数据待核实 | 0 |
---
### 🇹🇷 土耳其队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 乌古尔坎·恰基尔 (Uğurcan Çakır) | 加拉塔萨雷 | 38 |
| 门将 | 默特·古诺克 (Mert Günok) | 费内巴切 | 37 |
| 门将 | 阿勒泰·巴延德尔 (Altay Bayındır) | 曼联 | 11 |
| 后卫 | 梅里赫·德米拉尔 (Merih Demiral) | 阿赫利 | 61 |
| 后卫 | 泽基·切利克 (Zeki Çelik) | 罗马 | 59 |
| 后卫 | 卡格拉尔·瑟云聚 (Çağlar Söyüncü) | 费内巴切 | 59 |
| 后卫 | 默特·穆尔杜 (Mert Müldür) | 费内巴切 | 43 |
| 后卫 | 费迪·卡迪奥卢 (Ferdi Kadıoğlu) | 布莱顿 | 30 |
| 后卫 | 奥赞·卡巴克 (Ozan Kabak) | 霍芬海姆 | 28 |
| 后卫 | 阿卜杜勒卡里姆·巴尔达克彻 (Abdülkerim Bardakcı) | 加拉塔萨雷 | 26 |
| 后卫 | 埃伦·埃尔马利 (Eren Elmalı) | 加拉塔萨雷 | 21 |
| 后卫 | 萨梅特·阿卡丁 (Samet Akaydin) | 里泽体育 | 18 |
| 中场 | 哈坎·恰尔汗奥卢 (Hakan Çalhanoğlu) | 国际米兰 | **104** |
| 中场 | 卡安·艾汉 (Kaan Ayhan) | 加拉塔萨雷 | 72 |
| 中场 | 奥尔昆·科克库 (Orkun Kökçü) | 贝西克塔斯 | 48 |
| 中场 | 伊斯梅尔·于克塞克 (İsmail Yüksek) | 费内巴切 | 31 |
| 中场 | 萨利赫·厄兹詹 (Salih Özcan) | 多特蒙德 | 29 |
| 前锋 | 凯雷姆·阿克蒂尔克奥卢 (Kerem Aktürkoğlu) | 费内巴切 | 51 |
| 前锋 | 伊尔凡·詹·卡赫韦奇 (İrfan Can Kahveci) | 卡斯帕萨 | 45 |
| 前锋 | 巴勒什·阿尔佩尔·伊尔马兹 (Barış Alper Yılmaz) | 加拉塔萨雷 | 33 |
| 前锋 | 阿尔达·居莱尔 (Arda Güler) | 皇家马德里 | 28 |
| 前锋 | 凯南·伊尔迪兹 (Kenan Yıldız) | 尤文图斯 | 28 |
| 前锋 | 尤努斯·阿克金 (Yunus Akgün) | 加拉塔萨雷 | 数据待核实 |
| 前锋 | 詹·乌尊 (Can Uzun) | 法兰克福 | 6 |
| 前锋 | 德尼兹·居尔 (Deniz Gül) | 波尔图 | 数据待核实 |
| 前锋 | 奥古兹·艾丁 (Oğuz Aydın) | 费内巴切 | 数据待核实 |
---
### 🇩🇪 德国队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| 门将 | 曼努埃尔·诺伊尔 (Manuel Neuer) | 拜仁慕尼黑 | **124** |
| 门将 | 奥利弗·鲍曼 (Oliver Baumann) | 霍芬海姆 | 11 |
| 门将 | 亚历山大·尼贝尔 (Alexander Nübel) | 斯图加特 | 3 |
| 后卫 | 约书亚·基米希 (Joshua Kimmich) | 拜仁慕尼黑 | **108** |
| 后卫 | 安东尼奥·吕迪格 (Antonio Rüdiger) | 皇家马德里 | 82 |
| 后卫 | 若纳唐·塔 (Jonathan Tah) | 拜仁慕尼黑 | 45 |
| 后卫 | 大卫·劳姆 (David Raum) | 莱比锡RB | 36 |
| 后卫 | 尼科·施洛特贝克 (Nico Schlotterbeck) | 多特蒙德 | 25 |
| 后卫 | 瓦尔德马·安东 (Waldemar Anton) | 多特蒙德 | 12 |
| 后卫 | 马利克·乔 (Malick Thiaw) | 纽卡斯尔联 | 5 |
| 后卫 | 纳撒尼尔·布朗 (Nathaniel Brown) | 法兰克福 | 3 |
| 中场 | 勒鲁瓦·萨内 (Leroy Sané) | 加拉塔萨雷 | 74 |
| 中场 | 莱昂·戈雷茨卡 (Leon Goretzka) | 拜仁慕尼黑 | 69 |
| 中场 | 贾马尔·穆西亚拉 (Jamal Musiala) | 拜仁慕尼黑 | 40 |
| 中场 | 弗洛里安·维尔茨 (Florian Wirtz) | 利物浦 | 39 |
| 中场 | 帕斯卡尔·格罗斯 (Pascal Groß) | 布莱顿 | 18 |
| 中场 | 纳迪姆·阿米里 (Nadiem Amiri) | 美因茨05 | 9 |
| 中场 | 亚历山大·帕夫洛维奇 (Aleksandar Pavlović) | 拜仁慕尼黑 | 9 |
| 中场 | 安杰洛·施蒂勒 (Angelo Stiller) | 斯图加特 | 7 |
| 中场 | 费利克斯·恩梅查 (Felix Nmecha) | 多特蒙德 | 6 |
| 中场 | 莱韦林 (Jamie Leweling) | 斯图加特 | 4 |
| 中场 | 伦纳特·卡尔 (Lennart Karl) | 拜仁慕尼黑 | 2 |
| 前锋 | 凯·哈弗茨 (Kai Havertz) | 阿森纳 | 57 |
| 前锋 | 尼克·沃尔特马德 (Nick Woltemade) | 纽卡斯尔联 | 10 |
| 前锋 | 德尼兹·温达夫 (Deniz Undav) | 斯图加特 | 7 |
| 前锋 | 马克西米利安·拜尔 (Maximilian Beier) | 多特蒙德 | 7 |
---
### 🇨🇼 库拉索队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 埃洛伊·鲁姆 (Eloy Room) | 迈阿密FC | 70 |
| 门将 | 泰里克·博达克 (Tyrick Bodak) | 特尔斯达 | 数据待核实 |
| 门将 | 特雷弗·多恩布施 (Trevor Doornbusch) | 芬洛 | 数据待核实 |
| 后卫 | 尤里恩·加里 (Juriën Gaari) | 艾卜哈 | 58 |
| 后卫 | 儒尼尼奥·巴库纳 (Juninho Bacuna) | 福伦丹 | 47 |
| 后卫 | 罗雄·范·艾伊玛 (Roshon van Eijma) | RKC瓦尔韦克 | 27 |
| 后卫 | 谢雷尔·弗洛拉努斯 (Sherel Floranus) | PEC兹沃勒 | 26 |
| 后卫 | 里切德利·巴佐尔 (Riechedly Bazoer) | 科尼亚体育 | 数据待核实 |
| 后卫 | 约书亚·布雷内特 (Joshua Brenet) | 开塞利体育 | 数据待核实 |
| 后卫 | 德弗龙·方维尔 (Deveron Fonville) | NEC奈梅亨 | 数据待核实 |
| 后卫 | 阿尔曼多·奥比斯波 (Armando Obispo) | 埃因霍温 | 4 |
| 后卫 | 舒兰迪·桑博 (Shurandy Sambo) | 鹿特丹斯巴达 | 7 |
| 中场 | 莱安德罗·巴库纳 (Leandro Bacuna) | 伊格迪尔 | **70** |
| 中场 | 利瓦诺·科梅嫩西亚 (Livano Comenencia) | 苏黎世 | 18 |
| 中场 | 戈德弗里德·罗默拉托 (Godfried Roemeratoe) | RKC瓦尔韦克 | 26 |
| 中场 | 凯文·费利达 (Kevin Felida) | 登博斯 | 数据待核实 |
| 中场 | 阿尔扬尼·玛尔塔 (Ar'jany Martha) | 罗瑟勒姆联 | 8 |
| 中场 | 泰雷斯·诺斯林 (Tyrese Noslin) | 特尔斯达 | 5 |
| 前锋 | 于尔根·洛卡迪亚 (Jürgen Locadia) | 迈阿密FC | 12 |
| 前锋 | 塔希斯·钟 (Tahith Chong) | 谢菲尔德联 | 数据待核实 |
| 前锋 | 肯吉·戈雷 (Kenji Gorré) | 海法马卡比 | 37 |
| 前锋 | 布兰德利·库瓦斯 (Brandley Kuwas) | 福伦丹 | 34 |
| 前锋 | 耶雷尔·玛格丽塔 (Jearl Margaritha) | 贝弗伦 | 21 |
| 前锋 | 杰里米·安东尼塞 (Jeremy Antonisse) | 基菲萨 | 25 |
| 前锋 | 松特耶·汉森 (Sontje Hansen) | 米德尔斯堡 | 5 |
| 前锋 | 热尔瓦内·卡斯塔内尔 (Gervane Kastaneer) | 登嘉楼 | 数据待核实 |
---
### 🇨🇮 科特迪瓦队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 叶海亚·福法纳 (Yahia Fofana) | 里泽体育 | 34 |
| 门将 | 阿尔邦·拉丰 (Alban Lafont) | 帕纳辛纳科斯 | 4 |
| 门将 | 穆罕默德·科内 (Mohamed Koné) | 沙勒罗瓦 | 0 |
| 后卫 | 吉斯兰·科南 (Ghislain Konan) | 吉尔维森特 | 53 |
| 后卫 | 奥迪隆·科苏努 (Odilon Kossounou) | 亚特兰大 | 35 |
| 后卫 | 威尔弗里德·辛戈 (Wilfried Singo) | 加拉塔萨雷 | 33 |
| 后卫 | 埃文·恩迪卡 (Evan Ndicka) | 罗马 | 28 |
| 后卫 | 埃马纽埃尔·阿格巴杜 (Emmanuel Agbadou) | 贝西克塔斯 | 19 |
| 后卫 | 盖拉·杜埃 (Guéla Doué) | 斯特拉斯堡 | 19 |
| 后卫 | 奥斯曼·迪奥曼德 (Ousmane Diomandé) | 葡萄牙体育 | 14 |
| 后卫 | 克里斯托弗·奥佩里 (Christopher Opéri) | 伊斯坦布尔 | 11 |
| 中场 | 弗兰克·凯西 (Franck Kessié) | 阿赫利 | **102** |
| 中场 | 让·米歇尔·塞里 (Jean Michael Seri) | 马里博尔 | 65 |
| 中场 | 易卜拉欣·桑加雷 (Ibrahim Sangaré) | 诺丁汉森林 | 57 |
| 中场 | 塞科·福法纳 (Seko Fofana) | 波尔图 | 31 |
| 中场 | 克里斯·伊纳奥·乌莱 (Christ Inao Oulaï) | 特拉布宗体育 | 8 |
| 中场 | 帕尔费·吉亚贡 (Parfait Guiagon) | 沙勒罗瓦 | 5 |
| 前锋 | 尼古拉·佩佩 (Nicolas Pépé) | 比利亚雷亚尔 | 54 |
| 前锋 | 乌马尔·迪亚基特 (Oumar Diakité) | 瑟克尔布鲁日 | 28 |
| 前锋 | 西蒙·阿丁格拉 (Simon Adingra) | 摩纳哥 | 28 |
| 前锋 | 埃万·盖桑 (Evann Guessand) | 水晶宫 | 21 |
| 前锋 | 阿马德·迪亚洛 (Amad Diallo) | 曼联 | 18 |
| 前锋 | 扬·迪奥曼德 (Yan Diomandé) | 莱比锡RB | 9 |
| 前锋 | 巴祖马纳·图雷 (Bazoumana Touré) | 霍芬海姆 | 5 |
| 前锋 | 埃利·瓦希 (Elye Wahi) | 尼斯 | 1 |
| 前锋 | 安热-约安·博尼 (Ange-Yoan Bonny) | 国际米兰 | 0 |
---
### 🇪🇨 厄瓜多尔队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 埃尔南·加林德斯 (Hernán Galíndez) | 飓风 | 34 |
| 门将 | 莫伊塞斯·拉米雷斯 (Moisés Ramírez) | 基菲萨 | 7 |
| 门将 | 贡萨洛·瓦莱 (Gonzalo Valle) | 基多体育大学 | 3 |
| 后卫 | 安赫洛·普雷西亚多 (Ángelo Preciado) | 米内罗竞技 | 54 |
| 后卫 | 佩尔维斯·埃斯图皮南 (Pervis Estupiñán) | AC米兰 | 53 |
| 后卫 | 皮耶罗·因卡皮耶 (Piero Hincapié) | 阿森纳 | 51 |
| 后卫 | 费利克斯·托雷斯 (Félix Torres) | 巴西国际 | 48 |
| 后卫 | 威廉·帕乔 (Willian Pacho) | 巴黎圣日耳曼 | 34 |
| 后卫 | 乔尔·奥尔多涅斯 (Joel Ordóñez) | 布鲁日 | 16 |
| 后卫 | 杰克逊·波罗索 (Jackson Porozo) | 蒂华纳 | 9 |
| 中场 | 莫伊塞斯·凯塞多 (Moisés Caicedo) | 切尔西 | **60** |
| 中场 | 阿兰·佛朗哥 (Alan Franco) | 米内罗竞技 | 57 |
| 中场 | 贡萨洛·普拉塔 (Gonzalo Plata) | 弗拉门戈 | 49 |
| 中场 | 肯德里·派斯 (Kendry Páez) | 河床 | 25 |
| 中场 | 约翰·耶博阿 (John Yeboah) | 威尼斯 | 22 |
| 中场 | 阿兰·敏达 (Alan Minda) | 米内罗竞技 | 19 |
| 中场 | 佩德罗·维特 (Pedro Vite) | 国立自治大学 | 16 |
| 中场 | 乔迪·阿尔西瓦尔 (Jordy Alcívar) | 西班牙独立 | 10 |
| 中场 | 德尼尔·卡斯蒂略 (Denil Castillo) | 中日德兰 | 5 |
| 中场 | 亚伊马尔·梅迪纳 (Yaimar Medina) | 亨克 | 5 |
| 前锋 | 恩纳·瓦伦西亚 (Enner Valencia) | 帕丘卡 | **105** |
| 前锋 | 凯文·罗德里格斯 (Kevin Rodríguez) | 圣吉罗斯联合 | 31 |
| 前锋 | 乔迪·凯塞多 (Jordy Caicedo) | 飓风 | 19 |
| 前锋 | 尼尔森·安古洛 (Nilson Angulo) | 桑德兰 | 13 |
| 前锋 | 杰里米·阿雷瓦洛 (Jeremy Arévalo) | 斯图加特 | 数据待核实 |
| 前锋 | 安东尼·瓦伦西亚 (Anthony Valencia) | 皇家安特卫普 | 数据待核实 |
---
### 🇳🇱 荷兰队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 巴特·费布吕亨 (Bart Verbruggen) | 布莱顿 | **27** |
| 门将 | 马克·弗莱肯 (Mark Flekken) | 勒沃库森 | **11** |
| 门将 | 罗宾·鲁夫斯 (Robin Roefs) | 桑德兰 | **0** |
| 后卫 | 维吉尔·范戴克 (Virgil van Dijk) | 利物浦 | **90** |
| 后卫 | 纳坦·阿克 (Nathan Aké) | 曼城 | **58** |
| 后卫 | 丹泽尔·邓弗里斯 (Denzel Dumfries) | 国际米兰 | **71** |
| 后卫 | 卢特沙雷尔·海特鲁伊达 (Lutsharel Geertruida) | 桑德兰 | **21** |
| 后卫 | 乔雷尔·哈托 (Jorrel Hato) | 切尔西 | **7** |
| 后卫 | 扬·保罗·范赫克 (Jan Paul van Hecke) | 布莱顿 | **10** |
| 后卫 | 米基·范德芬 (Micky van de Ven) | 热刺 | **19** |
| 后卫 | 马茨·维费尔 (Mats Wieffer) | 布莱顿 | **14** |
| 中场 | 弗兰基·德容 (Frenkie de Jong) | 巴塞罗那 | **64** |
| 中场 | 马滕·德容恩 (Marten de Roon) | 亚特兰大 | **42** |
| 中场 | 瑞安·赫拉芬贝赫 (Ryan Gravenberch) | 利物浦 | **25** |
| 中场 | 尤斯廷·克鲁伊维特 (Justin Kluivert) | 伯恩茅斯 | 数据待核实 |
| 中场 | 特恩·库普梅纳斯 (Teun Koopmeiners) | 尤文图斯 | **27** |
| 中场 | 蒂贾尼·赖因德斯 (Tijjani Reijnders) | 曼城 | **30** |
| 中场 | 古斯·蒂尔 (Guus Til) | 埃因霍温 | **6** |
| 中场 | 昆滕·廷伯 (Quinten Timber) | 马赛 | **6** |
| 前锋 | 孟菲斯·德佩 (Memphis Depay) | 科林蒂安 | **108** |
| 前锋 | 布赖恩·布罗贝伊 (Brian Brobbey) | 桑德兰 | **10** |
| 前锋 | 科迪·加克波 (Cody Gakpo) | 利物浦 | 数据待核实 |
| 前锋 | 诺阿·朗 (Noa Lang) | 加拉塔萨雷 | 数据待核实 |
| 前锋 | 唐耶尔·马伦 (Donyell Malen) | 罗马 | 数据待核实 |
| 前锋 | 克赖森西奥·萨默维尔 (Crysencio Summerville) | 西汉姆联 | 数据待核实 |
| 前锋 | 沃特·韦格霍斯特 (Wout Weghorst) | 阿贾克斯 | 数据待核实 |
---
### 🇯🇵 日本队
日本队名单及出场次数来源于Squawka。
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 铃木彩艳 (Zion Suzuki) | 帕尔马 | **23** |
| 门将 | 大迫敬介 (Keisuke Osako) | 广岛三箭 | **11** |
| 门将 | 早川友基 (Tomoki Hayakawa) | 鹿岛鹿角 | **3** |
| 后卫 | 长友佑都 (Yuto Nagatomo) | FC东京 | **144** |
| 后卫 | 富安健洋 (Takehiro Tomiyasu) | 阿贾克斯 | **42** |
| 后卫 | 板仓滉 (Ko Itakura) | 阿贾克斯 | **39** |
| 后卫 | 谷口彰悟 (Shogo Taniguchi) | 圣图尔登 | **37** |
| 后卫 | 伊藤洋辉 (Hiroki Ito) | 拜仁慕尼黑 | **23** |
| 后卫 | 菅原由势 (Yukinari Sugawara) | 不莱梅 | **20** |
| 后卫 | 关根大辉 (Ayumu Seko) | 勒阿弗尔 | **13** |
| 后卫 | 渡边刚 (Tsuyoshi Watanabe) | 费耶诺德 | **10** |
| 后卫 | 铃木润之介 (Junnosuke Suzuki) | 哥本哈根 | **6** |
| 中场 | 远藤航 (Wataru Endo) | 利物浦 | **72** |
| 中场 | 伊东纯也 (Junya Ito) | 亨克 | **68** |
| 中场 | 堂安律 (Ritsu Doan) | 法兰克福 | **64** |
| 中场 | 镰田大地 (Daichi Kamada) | 水晶宫 | **49** |
| 中场 | 久保建英 (Takefusa Kubo) | 皇家社会 | **48** |
| 中场 | 田中碧 (Ao Tanaka) | 利兹联 | **37** |
| 中场 | 中村敬斗 (Keito Nakamura) | 兰斯 | **24** |
| 中场 | 佐野海舟 (Kaishu Sano) | 美因茨 | **12** |
| 前锋 | 上田绮世 (Ayase Ueda) | 费耶诺德 | **38** |
| 前锋 | 前田大然 (Daizen Maeda) | 凯尔特人 | **27** |
| 前锋 | 小川航基 (Koki Ogawa) | NEC奈梅亨 | **14** |
| 前锋 | 铃木唯人 (Yuito Suzuki) | 弗赖堡 | **6** |
| 前锋 | 后藤启介 (Keisuke Goto) | 圣图尔登 | **3** |
| 前锋 | 盐贝健人 (Kento Shiogai) | 沃尔夫斯堡 | **1** |
---
### 🇸🇪 瑞典队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 维克托·约翰松 (Viktor Johansson) | 斯托克城 | **12** |
| 门将 | 克里斯托弗·努德费尔特 (Kristoffer Nordfeldt) | AIK索尔纳 | **20** |
| 门将 | 雅各布·维德尔·塞特斯特伦 (Jacob Widell Zetterström) | 德比郡 | **2** |
| 后卫 | 维克托·林德洛夫 (Victor Lindelöf) | 阿斯顿维拉 | **75** |
| 后卫 | 伊萨克·希恩 (Isak Hien) | 亚特兰大 | **27** |
| 后卫 | 加布里埃尔·古德蒙松 (Gabriel Gudmundsson) | 利兹联 | **23** |
| 后卫 | 卡尔·斯塔费尔特 (Carl Starfelt) | 塞尔塔 | **17** |
| 后卫 | 约马尔·埃克达尔 (Hjalmar Ekdal) | 伯恩利 | **11** |
| 后卫 | 古斯塔夫·拉格比耶尔克 (Gustaf Lagerbielke) | 布拉加 | **9** |
| 后卫 | 丹尼尔·斯文松 (Daniel Svensson) | 多特蒙德 | **11** |
| 后卫 | 赫尔曼·约翰松 (Herman Johansson) | 达拉斯FC | **2** |
| 后卫 | 埃里克·史密斯 (Eric Smith) | 圣保利 | **0** |
| 后卫 | 埃利奥特·斯特劳德 (Elliot Stroud) | 米亚尔比 | **0** |
| 中场 | 马蒂亚斯·斯万贝里 (Mattias Svanberg) | 沃尔夫斯堡 | **39** |
| 中场 | 安东尼·埃兰加 (Anthony Elanga) | 纽卡斯尔联 | **28** |
| 中场 | 亚辛·阿亚里 (Yasin Ayari) | 布莱顿 | **19** |
| 中场 | 杰斯佩·卡尔斯特伦 (Jesper Karlström) | 乌迪内斯 | **23** |
| 中场 | 卢卡斯·贝里瓦尔 (Lucas Bergvall) | 热刺 | **8** |
| 中场 | 贝斯福特·泽内利 (Besfort Zeneli) | 圣吉罗斯联合 | **6** |
